strain,length,width,phase
MgrB_stop,33.295193,7.970752,exp
MgrB_stop,24.982122,7.9737735,exp
MgrB_stop,37.729733,7.9748588,exp
MgrB_stop,31.185457,7.977813,exp
MgrB_stop,37.589695,7.979968,exp
MgrB_stop,35.227543,7.9894805,exp
MgrB_stop,47.36916,7.9904737,exp
MgrB_stop,29.043201,8.000425,exp
MgrB_stop,20.626709,8.005787,exp
MgrB_stop,18.99049,8.005948,exp
MgrB_stop,30.29011,8.007412,exp
MgrB_stop,37.64231,8.013256,exp
MgrB_stop,39.682262,8.016262,exp
MgrB_stop,32.6798,8.034599,exp
MgrB_stop,33.087177,8.0398035,exp
MgrB_stop,39.498753,8.040338,exp
MgrB_stop,31.285873,8.043089,exp
MgrB_stop,25.652987,8.044726,exp
MgrB_stop,43.21344,8.051879,exp
MgrB_stop,35.450546,8.05406,exp
MgrB_stop,33.68359,8.056173,exp
MgrB_stop,31.092297,8.057126,exp
MgrB_stop,31.66159,8.0587015,exp
MgrB_stop,43.950363,8.060226,exp
MgrB_stop,29.125252,8.062413,exp
MgrB_stop,32.851063,8.064065,exp
MgrB_stop,28.811682,8.068729,exp
MgrB_stop,40.613598,8.06941,exp
MgrB_stop,45.067116,8.06973,exp
MgrB_stop,38.37668,8.070337,exp
MgrB_stop,27.736235,8.074386,exp
MgrB_stop,25.580666,8.078768,exp
MgrB_stop,33.62183,8.080895,exp
MgrB_stop,43.030575,8.08144,exp
MgrB_stop,29.981243,8.08462,exp
MgrB_stop,29.746075,8.084731,exp
MgrB_stop,29.834354,8.10163,exp
MgrB_stop,22.96562,8.108466,exp
MgrB_stop,29.500319,8.124472,exp
MgrB_stop,31.484308,8.126927,exp
MgrB_stop,32.773678,8.127941,exp
MgrB_stop,24.719885,8.130921,exp
MgrB_stop,28.92404,8.13172,exp
MgrB_stop,40.527767,8.1335535,exp
MgrB_stop,30.369568,8.138767,exp
MgrB_stop,36.029945,8.142069,exp
MgrB_stop,23.743305,8.1425085,exp
MgrB_stop,36.73967,8.145326,exp
MgrB_stop,22.36326,8.145781,exp
MgrB_stop,30.347013,8.153173,exp
MgrB_stop,20.07522,8.155728,exp
MgrB_stop,20.871742,8.155842,exp
MgrB_stop,33.401875,8.159185,exp
MgrB_stop,36.775925,8.1647625,exp
MgrB_stop,21.941412,8.169202,exp
MgrB_stop,32.814274,8.169536,exp
MgrB_stop,29.864536,8.170854,exp
MgrB_stop,33.84672,8.1723175,exp
MgrB_stop,22.557793,8.181703,exp
MgrB_stop,28.964888,8.185199,exp
MgrB_stop,27.843454,8.193857,exp
MgrB_stop,23.816141,8.197888,exp
MgrB_stop,29.621853,8.198261,exp
MgrB_stop,30.640694,8.198572,exp
MgrB_stop,26.82932,8.199491,exp
MgrB_stop,32.380955,8.207177,exp
MgrB_stop,24.073996,8.208286,exp
MgrB_stop,29.71464,8.210948,exp
MgrB_stop,20.85921,8.215492,exp
MgrB_stop,38.255245,8.22097,exp
MgrB_stop,36.42406,8.222608,exp
MgrB_stop,26.53187,8.227529,exp
MgrB_stop,27.121853,8.229648,exp
MgrB_stop,28.167618,8.233884,exp
MgrB_stop,20.44513,8.239347,exp
MgrB_stop,34.780575,8.242746,exp
MgrB_stop,31.151781,8.245742,exp
MgrB_stop,30.095427,8.252846,exp
MgrB_stop,26.65687,8.254144,exp
MgrB_stop,45.64001,8.260078,exp
MgrB_stop,25.535982,8.2629795,exp
MgrB_stop,29.379652,8.266869,exp
MgrB_stop,33.296097,8.267438,exp
MgrB_stop,23.977943,8.269067,exp
MgrB_stop,20.368853,8.279928,exp
MgrB_stop,20.367908,8.280044,exp
