time,replicate,strain,OD,Empty_vector,stress
3,1,YmiA,0.179,Yes,10mM_mg
3,2,YmiA,0.176,Yes,10mM_mg
3,3,YmiA,0.172,Yes,10mM_mg
3,4,YmiA,0.174,Yes,10mM_mg
3,1,MgtT,0.166,Yes,no_mg
3,2,MgtT,0.177,Yes,no_mg
3,3,MgtT,0.183,Yes,no_mg
3,4,MgtT,0.186,Yes,no_mg
3,1,MgtT,0.179,Yes,10mM_mg
3,2,MgtT,0.176,Yes,10mM_mg
3,3,MgtT,0.172,Yes,10mM_mg
3,4,MgtT,0.174,Yes,10mM_mg
3,1,YmiC,0.166,Yes,no_mg
3,2,YmiC,0.177,Yes,no_mg
3,3,YmiC,0.183,Yes,no_mg
3,4,YmiC,0.186,Yes,no_mg
3,1,YmiC,0.179,Yes,10mM_mg
3,2,YmiC,0.176,Yes,10mM_mg
3,3,YmiC,0.172,Yes,10mM_mg
3,4,YmiC,0.174,Yes,10mM_mg
4,1,PmrR,0.097,No,no_mg
4,2,PmrR,0.094,No,no_mg
4,3,PmrR,0.097,No,no_mg
4,4,PmrR,0.097,No,no_mg
4,1,PmrR,0.096,No,10mM_mg
4,2,PmrR,0.096,No,10mM_mg
4,3,PmrR,0.098,No,10mM_mg
4,4,PmrR,0.096,No,10mM_mg
4,1,YdgU,0.218,No,no_mg
4,2,YdgU,0.225,No,no_mg
4,3,YdgU,0.231,No,no_mg
4,4,YdgU,0.215,No,no_mg
4,1,YdgU,0.262,No,10mM_mg
4,2,YdgU,0.261,No,10mM_mg
4,3,YdgU,0.26,No,10mM_mg
4,4,YdgU,0.263,No,10mM_mg
4,1,YoaI,0.098,No,no_mg
4,2,YoaI,0.095,No,no_mg
4,3,YoaI,0.094,No,no_mg
4,4,YoaI,0.095,No,no_mg
4,1,YoaI,0.094,No,10mM_mg
4,2,YoaI,0.095,No,10mM_mg
4,3,YoaI,0.094,No,10mM_mg
4,4,YoaI,0.095,No,10mM_mg
4,1,YadX,0.218,No,no_mg
4,2,YadX,0.233,No,no_mg
4,3,YadX,0.248,No,no_mg
4,4,YadX,0.214,No,no_mg
4,1,YadX,0.243,No,10mM_mg
4,2,YadX,0.242,No,10mM_mg
4,3,YadX,0.247,No,10mM_mg
4,4,YadX,0.247,No,10mM_mg
4,1,YriB,0.202,No,no_mg
4,2,YriB,0.213,No,no_mg
4,3,YriB,0.203,No,no_mg
4,4,YriB,0.197,No,no_mg
4,1,YriB,0.194,No,10mM_mg
4,2,YriB,0.193,No,10mM_mg
4,3,YriB,0.191,No,10mM_mg
4,4,YriB,0.19,No,10mM_mg
4,1,YmiA,0.12,No,no_mg
4,2,YmiA,0.126,No,no_mg
4,3,YmiA,0.116,No,no_mg
4,4,YmiA,0.145,No,no_mg
4,1,YmiA,0.126,No,10mM_mg
4,2,YmiA,0.119,No,10mM_mg
4,3,YmiA,0.122,No,10mM_mg
4,4,YmiA,0.127,No,10mM_mg
4,1,MgtT,0.204,No,no_mg
4,2,MgtT,0.205,No,no_mg
4,3,MgtT,0.218,No,no_mg
4,4,MgtT,0.198,No,no_mg
4,1,MgtT,0.277,No,10mM_mg
4,2,MgtT,0.269,No,10mM_mg
4,3,MgtT,0.272,No,10mM_mg
4,4,MgtT,0.268,No,10mM_mg
4,1,YmiC,0.258,No,no_mg
4,2,YmiC,0.263,No,no_mg
4,3,YmiC,0.264,No,no_mg
4,4,YmiC,0.252,No,no_mg
4,1,YmiC,0.268,No,10mM_mg
4,2,YmiC,0.284,No,10mM_mg
4,3,YmiC,0.272,No,10mM_mg
4,4,YmiC,0.306,No,10mM_mg
4,1,PmrR,0.242,Yes,no_mg
4,2,PmrR,0.25,Yes,no_mg
4,3,PmrR,0.235,Yes,no_mg
4,4,PmrR,0.231,Yes,no_mg
4,1,PmrR,0.292,Yes,10mM_mg
4,2,PmrR,0.282,Yes,10mM_mg
4,3,PmrR,0.275,Yes,10mM_mg
